ticker,crypto_only_days,equity_overlap_days,crypto_only_cum_return,equity_overlap_cum_return,full_period_cum_return,weekend_return_pct
ADA-USD,454,1006,4.5356878593398235,2.2082246474602836,16.75973023098074,27.06301233271346
BCH-USD,454,1006,0.14565348354963903,0.10716284233117213,0.2684249671734249,54.262271160318235
BTC-USD,454,1006,0.24986077477244772,3.6965413525995423,4.8700228137109125,5.1305873571885
EOS-USD,454,1006,-0.22509093094505028,-0.580529202302887,-0.674948274660793,33.34936015032762
ETC-USD,454,1006,0.3171971958349824,2.693891902848595,3.865584056149711,8.205673223697135
ETH-USD,454,1006,2.3212592058321597,4.251674819687407,16.442173340923706,14.117715205292644
LTC-USD,454,1006,1.0074927426570341,-0.13695069321333175,0.7325652199294199,137.52942608360556
TRX-USD,454,1006,1.1419830410482459,2.7938040829918296,7.126264006828118,16.024989250384785
XLM-USD,454,1006,0.5766300059374716,0.7996101062885612,1.8373192925628512,31.384311277390353
XRP-USD,454,1006,0.22403868930116144,1.6075398445380786,2.191729653608951,10.222003837574325
