date,fund,return
2021-06-03,Combined Min-Variance,0.0047672572485943495
2021-06-04,Combined Min-Variance,0.005979415401210741
2021-06-07,Combined Min-Variance,-0.0033841110183265204
2021-06-08,Combined Min-Variance,-0.005111246304967674
2021-06-09,Combined Min-Variance,0.004777459364669972
2021-06-10,Combined Min-Variance,0.007636854956311378
2021-06-11,Combined Min-Variance,0.0011369638444267219
2021-06-14,Combined Min-Variance,0.0008963493970819724
2021-06-15,Combined Min-Variance,-0.0046171065533294545
2021-06-16,Combined Min-Variance,-0.011582786031580148
2021-06-17,Combined Min-Variance,-0.00013875561855826684
2021-06-18,Combined Min-Variance,-0.011399971081791267
2021-06-21,Combined Min-Variance,0.010029293651759004
2021-06-22,Combined Min-Variance,-0.0011950171993125873
2021-06-23,Combined Min-Variance,-0.006838403382123487
2021-06-24,Combined Min-Variance,0.0057154406913124435
2021-06-25,Combined Min-Variance,0.011618880546910001
2021-06-28,Combined Min-Variance,0.002540819238074934
2021-06-29,Combined Min-Variance,-0.0031781321237837053
2021-06-30,Combined Min-Variance,0.006505329270548399
2021-07-01,Combined Min-Variance,0.0030106159859109084
2021-07-02,Combined Min-Variance,0.004261923985170387
2021-07-06,Combined Min-Variance,-0.0017722029830853686
2021-07-07,Combined Min-Variance,0.002468883456942819
2021-07-08,Combined Min-Variance,-0.005508498852592435
2021-07-09,Combined Min-Variance,0.007207972914026094
2021-07-12,Combined Min-Variance,0.002972580101418767
2021-07-13,Combined Min-Variance,-0.0027479224503986033
2021-07-14,Combined Min-Variance,0.0038957415534535784
2021-07-15,Combined Min-Variance,0.0011883740955397335
2021-07-16,Combined Min-Variance,-0.0013555621205768283
2021-07-19,Combined Min-Variance,-0.01379939846472678
2021-07-20,Combined Min-Variance,0.00576363529691455
2021-07-21,Combined Min-Variance,-0.0008869274275191032
2021-07-22,Combined Min-Variance,-0.0002370306297363944
2021-07-23,Combined Min-Variance,0.010413476425031466
2021-07-26,Combined Min-Variance,0.000971842254305249
2021-07-27,Combined Min-Variance,0.001479538748909336
2021-07-28,Combined Min-Variance,-0.0005994246858818915
2021-07-29,Combined Min-Variance,-0.00016371491976034877
2021-07-30,Combined Min-Variance,-0.0033764014436381395
2021-08-02,Combined Min-Variance,-0.0006372871276391257
2021-08-03,Combined Min-Variance,0.0007801892328907641
2021-08-04,Combined Min-Variance,-0.006816963618317025
2021-08-05,Combined Min-Variance,0.004448020284627218
2021-08-06,Combined Min-Variance,-0.000730026301060239
2021-08-09,Combined Min-Variance,0.0009769693976032453
2021-08-10,Combined Min-Variance,0.004754861335670527
2021-08-11,Combined Min-Variance,0.005445161896487358
2021-08-12,Combined Min-Variance,0.003191381125601362
2021-08-13,Combined Min-Variance,0.003980570153296218
2021-08-16,Combined Min-Variance,0.006404351168508852
2021-08-17,Combined Min-Variance,0.0019662434306403874
2021-08-18,Combined Min-Variance,-0.01103217696519361
2021-08-19,Combined Min-Variance,0.0015463562306192399
2021-08-20,Combined Min-Variance,0.004434768474621971
2021-08-23,Combined Min-Variance,-0.00048590274926848956
2021-08-24,Combined Min-Variance,-0.004707888567969962
2021-08-25,Combined Min-Variance,-0.002716753173823474
2021-08-26,Combined Min-Variance,-0.005897132931774903
2021-08-27,Combined Min-Variance,0.0024761820294476843
2021-08-30,Combined Min-Variance,0.0034002305142150245
2021-08-31,Combined Min-Variance,0.003543539672897157
2021-09-01,Combined Min-Variance,0.00020448006171760856
2021-09-02,Combined Min-Variance,0.00581262286657557
2021-09-03,Combined Min-Variance,-0.001649592793053029
2021-09-07,Combined Min-Variance,-0.015281504186828866
2021-09-08,Combined Min-Variance,0.005392723099821532
2021-09-09,Combined Min-Variance,-0.010078284542963124
2021-09-10,Combined Min-Variance,-0.006509617261096414
2021-09-13,Combined Min-Variance,-0.0009742089803097505
2021-09-14,Combined Min-Variance,-0.004582358021743556
2021-09-15,Combined Min-Variance,0.0023281758437476217
2021-09-16,Combined Min-Variance,-0.005040521987163766
2021-09-17,Combined Min-Variance,-0.009219963467436774
2021-09-20,Combined Min-Variance,-0.01077300343930084
2021-09-21,Combined Min-Variance,-0.0041293110660269
2021-09-22,Combined Min-Variance,0.0016994097217919151
2021-09-23,Combined Min-Variance,0.00367216282424427
2021-09-24,Combined Min-Variance,-0.0036695319504413794
2021-09-27,Combined Min-Variance,-0.0034231530589544177
2021-09-28,Combined Min-Variance,-0.0067026486943706385
2021-09-29,Combined Min-Variance,0.00866361965460887
2021-09-30,Combined Min-Variance,-0.00906909817332781
2021-10-01,Combined Min-Variance,0.010802978164723955
2021-10-04,Combined Min-Variance,0.0005083507446073214
2021-10-05,Combined Min-Variance,0.002321681317886279
2021-10-06,Combined Min-Variance,0.003364729811515625
2021-10-07,Combined Min-Variance,0.007889960797744023
2021-10-08,Combined Min-Variance,-0.0038943833752544694
2021-10-11,Combined Min-Variance,-0.008034838377860034
2021-10-12,Combined Min-Variance,-0.0007047726451175974
2021-10-13,Combined Min-Variance,0.0019196715424904692
2021-10-14,Combined Min-Variance,0.010041479177803412
2021-10-15,Combined Min-Variance,-0.00040834350457688595
2021-10-18,Combined Min-Variance,-0.0024737824973580114
2021-10-19,Combined Min-Variance,0.01251627830136697
2021-10-20,Combined Min-Variance,0.010018827478607663
2021-10-21,Combined Min-Variance,0.005891910794921301
2021-10-22,Combined Min-Variance,0.002632292529917775
2021-10-25,Combined Min-Variance,0.0033547007126220165
2021-10-26,Combined Min-Variance,0.0012941657866623482
2021-10-27,Combined Min-Variance,-0.00986095498163582
2021-10-28,Combined Min-Variance,0.014086327460289174
2021-10-29,Combined Min-Variance,-0.002067448706821718
2021-11-01,Combined Min-Variance,0.004801566767362974
2021-11-02,Combined Min-Variance,0.004085156163201262
2021-11-03,Combined Min-Variance,0.0014498300445744347
2021-11-04,Combined Min-Variance,0.0012572641625933133
2021-11-05,Combined Min-Variance,-0.0096465759438936
