date,sector,sentiment
2020-01-02,Comm,
2020-01-03,Comm,0.10897499999999999
2020-01-06,Comm,0.135575
2020-01-07,Comm,0.20029305555555554
2020-01-08,Comm,0.33276666666666666
2020-01-09,Comm,0.22404875000000002
2020-01-10,Comm,0.08382
2020-01-13,Comm,0.03584583333333334
2020-01-14,Comm,0.047104166666666676
2020-01-15,Comm,0.0863
2020-01-16,Comm,0.0006972222222222194
2020-01-17,Comm,0.1636125
2020-01-21,Comm,0.0634
2020-01-22,Comm,0.04364285714285715
2020-01-23,Comm,0.18275
2020-01-24,Comm,0.28959685714285716
2020-01-27,Comm,0.12556507575757575
2020-01-28,Comm,-0.03477954545454546
2020-01-29,Comm,0.04588500000000001
2020-01-30,Comm,0.38805125
2020-01-31,Comm,-0.013312499999999998
2020-02-03,Comm,-0.225825
2020-02-04,Comm,0.1068625
2020-02-05,Comm,0.1291065
2020-02-06,Comm,-0.008172916666666662
2020-02-07,Comm,0.10149428571428572
2020-02-10,Comm,0.04096999999999999
2020-02-11,Comm,0.07411875
2020-02-12,Comm,-0.010393823529411747
2020-02-13,Comm,0.16301888888888888
2020-02-14,Comm,0.1201245238095238
2020-02-18,Comm,0.6249
2020-02-19,Comm,0.03086833333333334
2020-02-20,Comm,0.18420416666666664
2020-02-21,Comm,0.06464166666666667
2020-02-24,Comm,-0.044972222222222226
2020-02-25,Comm,0.04713888888888889
2020-02-26,Comm,0.20084444444444446
2020-02-27,Comm,0.15698333333333334
2020-02-28,Comm,0.164925
2020-03-02,Comm,-0.08795857142857141
2020-03-03,Comm,0.1772875
2020-03-04,Comm,0.06708499999999999
2020-03-05,Comm,0.12637083333333332
2020-03-06,Comm,0.20370166666666667
2020-03-09,Comm,0.1845625
2020-03-10,Comm,0.0138625
2020-03-11,Comm,-0.061939999999999995
2020-03-12,Comm,-0.09157499999999999
2020-03-13,Comm,-0.08209999999999999
2020-03-16,Comm,0.060345
2020-03-17,Comm,-0.08564124999999999
2020-03-18,Comm,0.07967416666666666
2020-03-19,Comm,0.147345
2020-03-20,Comm,0.05435833333333333
2020-03-23,Comm,-0.008524999999999996
2020-03-24,Comm,0.16042920779220776
2020-03-25,Comm,0.2699409523809524
2020-03-26,Comm,0.2209026666666667
2020-03-27,Comm,0.12920166666666666
2020-03-30,Comm,0.21216222222222225
2020-03-31,Comm,0.2864925
2020-04-01,Comm,0.2708055555555556
2020-04-02,Comm,0.093525
2020-04-03,Comm,-0.09556
2020-04-06,Comm,0.2131947619047619
2020-04-07,Comm,0.3880041666666667
2020-04-08,Comm,0.20305340909090908
2020-04-09,Comm,0.16489666666666666
2020-04-13,Comm,-0.0018883333333333308
2020-04-14,Comm,-0.15928444444444445
2020-04-15,Comm,0.27127309523809523
2020-04-16,Comm,0.1547541666666667
2020-04-17,Comm,0.28709375000000004
2020-04-20,Comm,0.07999916666666666
2020-04-21,Comm,0.08840624999999999
2020-04-22,Comm,0.11483333333333334
2020-04-23,Comm,0.257825
2020-04-24,Comm,0.14000277777777778
2020-04-27,Comm,0.01891136363636364
2020-04-28,Comm,0.08147666666666667
2020-04-29,Comm,0.1860182828282828
2020-04-30,Comm,0.13907777777777777
2020-05-01,Comm,0.0762109375
2020-05-04,Comm,-0.12954791666666665
2020-05-05,Comm,0.12881185185185184
2020-05-06,Comm,0.12856
2020-05-07,Comm,-0.03402583333333334
2020-05-08,Comm,0.13782583333333334
2020-05-11,Comm,0.3100133333333333
2020-05-12,Comm,0.12894285714285716
2020-05-13,Comm,0.08502099999999999
2020-05-14,Comm,0.02526666666666666
2020-05-15,Comm,0.1712533333333333
2020-05-18,Comm,0.17463
2020-05-19,Comm,0.14646866666666666
2020-05-20,Comm,0.11324733333333334
2020-05-21,Comm,0.02862866666666667
2020-05-22,Comm,0.096352
2020-05-26,Comm,0.015080000000000005
2020-05-27,Comm,0.16769333333333333
2020-05-28,Comm,0.18075000000000002
2020-05-29,Comm,0.09534436363636364
2020-06-01,Comm,0.12601250000000003
2020-06-02,Comm,0.15972342857142857
2020-06-03,Comm,0.28929444444444447
2020-06-04,Comm,-0.07269666666666666
2020-06-05,Comm,0.141095
2020-06-08,Comm,0.11103666666666664
2020-06-09,Comm,-0.1130925
2020-06-10,Comm,-0.04635000000000001
2020-06-11,Comm,0.011962500000000015
2020-06-12,Comm,-0.0021876190476190467
2020-06-15,Comm,0.11055555555555556
2020-06-16,Comm,0.022516666666666657
2020-06-17,Comm,0.09305
2020-06-18,Comm,0.12398500000000001
2020-06-19,Comm,0.01951625
2020-06-22,Comm,0.15536666666666665
2020-06-23,Comm,0.17502083333333332
2020-06-24,Comm,0.1977888888888889
2020-06-25,Comm,0.15915353535353535
2020-06-26,Comm,0.11716444444444445
2020-06-29,Comm,0.36275
2020-06-30,Comm,0.020961025641025643
2020-07-01,Comm,0.1538904761904762
2020-07-02,Comm,-0.0343
2020-07-06,Comm,-0.014825
2020-07-07,Comm,0.2043583333333333
2020-07-08,Comm,0.08076000000000001
2020-07-09,Comm,-0.123225
2020-07-10,Comm,0.1639125
2020-07-13,Comm,0.0
2020-07-14,Comm,0.07103333333333334
2020-07-15,Comm,0.04039642857142857
2020-07-16,Comm,0.10915833333333333
2020-07-17,Comm,0.19680833333333334
2020-07-20,Comm,-0.46715
2020-07-21,Comm,0.06828333333333332
2020-07-22,Comm,0.24298000000000003
2020-07-23,Comm,0.09405
2020-07-24,Comm,-0.17747083333333333
2020-07-27,Comm,0.124290625
2020-07-28,Comm,0.1796
2020-07-29,Comm,0.22201500000000002
2020-07-30,Comm,0.024543750000000003
2020-07-31,Comm,0.09788833333333333
2020-08-03,Comm,0.20481666666666665
2020-08-04,Comm,0.24238400000000002
2020-08-05,Comm,0.14336
2020-08-06,Comm,0.3156458333333333
2020-08-07,Comm,0.2948809523809524
2020-08-10,Comm,0.11467179487179487
2020-08-11,Comm,0.26528333333333337
2020-08-12,Comm,0.1579111111111111
2020-08-13,Comm,0.13904999999999998
2020-08-14,Comm,0.074
2020-08-17,Comm,-0.07955
2020-08-18,Comm,0.12658666666666668
2020-08-19,Comm,0.12132666666666667
2020-08-20,Comm,0.0
2020-08-21,Comm,0.129875
2020-08-24,Comm,0.05934444444444444
2020-08-25,Comm,-0.03465000000000001
2020-08-26,Comm,0.041666666666666664
2020-08-27,Comm,0.12346499999999999
2020-08-28,Comm,0.10115
2020-08-31,Comm,0.23409583333333334
2020-09-01,Comm,0.1672111111111111
2020-09-02,Comm,0.14038333333333333
2020-09-03,Comm,0.2509888888888889
2020-09-04,Comm,0.09808095238095238
2020-09-08,Comm,0.2715916666666667
2020-09-09,Comm,0.27995000000000003
2020-09-10,Comm,0.19863333333333333
2020-09-11,Comm,0.011675000000000019
2020-09-14,Comm,-0.007366666666666667
2020-09-15,Comm,0.03878611111111112
2020-09-16,Comm,0.047488888888888886
2020-09-17,Comm,0.08045
2020-09-18,Comm,0.2514111111111111
2020-09-21,Comm,0.03440625
2020-09-22,Comm,0.098096875
2020-09-23,Comm,0.30411666666666665
2020-09-24,Comm,0.187175
2020-09-25,Comm,0.19109500000000001
2020-09-28,Comm,-0.145725
2020-09-29,Comm,0.192781875
2020-09-30,Comm,0.0593
2020-10-01,Comm,0.22197499999999998
2020-10-02,Comm,0.01236111111111112
2020-10-05,Comm,-0.16215
2020-10-06,Comm,0.12076250000000001
2020-10-07,Comm,0.09443750000000001
2020-10-08,Comm,0.3819
2020-10-09,Comm,-0.14352333333333334
2020-10-12,Comm,0.17659107142857144
2020-10-13,Comm,-0.03122020202020202
2020-10-14,Comm,-0.15122857142857143
2020-10-15,Comm,0.22808200000000003
2020-10-16,Comm,0.36173333333333335
2020-10-19,Comm,0.016958333333333315
2020-10-20,Comm,0.2748366666666667
2020-10-21,Comm,0.0
2020-10-22,Comm,0.05586666666666666
2020-10-23,Comm,0.02915833333333333
2020-10-26,Comm,0.37055625
2020-10-27,Comm,0.21149057142857144
2020-10-28,Comm,0.0
2020-10-29,Comm,0.12582333333333331
2020-10-30,Comm,0.18925799999999998
2020-11-02,Comm,0.18485
2020-11-03,Comm,0.06413833333333332
2020-11-04,Comm,-0.06955933333333333
2020-11-05,Comm,0.11277666666666665
2020-11-06,Comm,0.010704333333333326
2020-11-09,Comm,0.08484982843137254
2020-11-10,Comm,0.22620761904761905
2020-11-11,Comm,0.02692500000000001
2020-11-12,Comm,-0.12654375
2020-11-13,Comm,0.18617499999999998
2020-11-16,Comm,0.14494166666666666
2020-11-17,Comm,0.125346
2020-11-18,Comm,0.14484
2020-11-19,Comm,0.008979999999999998
2020-11-20,Comm,0.34
2020-11-23,Comm,-0.07943
2020-11-24,Comm,0.057544444444444454
2020-11-25,Comm,0.12386666666666668
2020-11-27,Comm,0.10638
2020-11-30,Comm,0.2934333333333333
2020-12-01,Comm,0.10057777777777778
2020-12-02,Comm,0.1101
2020-12-03,Comm,-0.24695
2020-12-04,Comm,0.030850000000000013
2020-12-07,Comm,0.15112142857142857
2020-12-08,Comm,0.0659037037037037
2020-12-09,Comm,0.11583939393939395
2020-12-10,Comm,0.38145625
